reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
af466313-d63e-48c5-bdea-a31944b59e12,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,menyala ❤️‍🔥❤️‍🔥❤️‍🔥,5,0,1.2.6.1961,2025-08-18 20:52:14,,,1.2.6.1961
5d813806-fde2-4904-9102-a151f59d5d77,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,miya nerf lah monton,4,0,1.2.6.1961,2025-08-18 20:47:59,,,1.2.6.1961
46ea4882-6324-4840-893e-1f47ea62c69b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,baik tapi aneh suka nyakitin 😮‍💨😮‍💨,5,0,,2025-08-18 20:38:44,,,
22da2413-d557-4b6c-9243-fff968651976,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good job,5,0,1.2.6.1961,2025-08-18 19:57:59,,,1.2.6.1961
0123fa7c-b5d9-498e-a53c-bbc863adfbed,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,baik,5,0,,2025-08-18 19:38:15,,,
a8708f48-98c1-4a5b-aa74-7e6de85bd146,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mantap,5,0,,2025-08-18 19:27:17,,,
521cbb18-260e-4681-9204-c0e1d9ecbc95,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,game bosok,1,0,1.2.6.1961,2025-08-18 19:00:06,,,1.2.6.1961
f78556b9-392d-4f13-a631-538966bf733e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,game apaan gua main di kasih lawan yang ws Mulu ajg.udah gua hapus game nya gak adil kalo bisa kasih tau kenapaa game ini gak adilll banget darah tipis di kasih lawan WS pola pikir nya kemana game gak adil.dan sebisa mungkin sinergi jangan sampe ada yang sepuluh itu kayak gak ada sama sulit buat di kalahin,1,1,1.2.6.1961,2025-08-18 18:53:07,,,1.2.6.1961
7ea00378-d001-4423-b636-8336542b468c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,menyenangkan sekali,5,0,1.2.6.1961,2025-08-18 17:58:53,,,1.2.6.1961
54182fbf-0f32-4359-a910-b781c8232870,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ok,5,0,1.2.6.1961,2025-08-18 16:24:07,,,1.2.6.1961
23eba42b-b9a7-420f-b564-2eed9990daad,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"developer tolol soal sistem matching. Sistemnya kek babi, dari segi sinergi, Hero, sampe health point aja gw paling bawah, malah dilawanin sama yg health pointnya masih 100, sinergi udah 6, jingan. Tolong rombak lah sistem bagian ini, jangan dibikin acak atau sesuai urutan. Terus bagian item, magic crystal, sama blessing drop/dapetnya jangan random juga lah, GK adil banget sama lawan yg dapetnya selalu pas. Udah mah pas di fate box dapetnya sisaan, di babak creep juga dapetnya item ampas.",1,275,1.2.6.1961,2025-08-18 16:16:38,,,1.2.6.1961
49329697-42df-45a9-9d30-36cb0d450560,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gamenya asik dah buruan cobain sekarang gamenya😁🙏🏻,5,0,,2025-08-18 15:58:10,,,
a97e8026-6e9f-4e09-8dd0-f22a9c00620a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,game pembodohan,1,0,1.2.6.1961,2025-08-18 15:34:36,,,1.2.6.1961
9362e924-4a50-40c8-9c51-bc5f5a29cd75,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,SERU MANTAP KING,5,0,1.2.6.1961,2025-08-18 15:21:36,,,1.2.6.1961
54036486-8a5b-4f66-bd4f-86604118eeee,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,kadang ngelag padahal signal bgus di kasi turun mulu hedeee,1,1,1.2.6.1961,2025-08-18 15:03:54,,,1.2.6.1961
f134cadf-3dcd-4972-83a2-1f9e56cff6b0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus,5,0,1.2.6.1961,2025-08-18 15:02:55,,,1.2.6.1961
e53e731f-6f88-496d-90eb-f849efad7020,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"game yg sangat tidak masuk akal , terlalu banyak dark di sistemnya , masih enakan MC old , mengandalkan strategi bukan keberuntungan , dan saya berasa memang sistem moonton tidak membiarkan WS , dan itu berasa bgt , saya udah nahan untuk ke slot tinggi tp tidak pernah ketemun hero dngan % an terbanyak , malah mereka yg rol bawah yg mendapat b2 bahkan b3 sbnarnya gmn moonton? carabermainya knp berbeda sekali",1,32,1.2.6.1961,2025-08-18 14:51:20,,,1.2.6.1961
cafb2d62-56c3-4ad8-909a-250749ad0006,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,game nya sangat bagus,5,0,,2025-08-18 14:41:04,,,
a13cc1a8-560b-4e99-b6d5-34c3f810b67f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,kadang cari hero yg sinerginya sama susah kali tolong lah kalo saya lagi ngerok hero permudah kan dapetin Hero yang sinergi nya sama,3,0,,2025-08-18 14:37:07,,,
d5cf6d1d-471f-4291-9240-ee9a0bd48bb6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,game ampas,1,0,1.2.6.1961,2025-08-18 14:21:12,,,1.2.6.1961
03d7bdaa-6846-4b8f-a6d4-965dc9b45256,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat puas,5,0,1.2.6.1961,2025-08-18 14:13:16,,,1.2.6.1961
6372b8bb-b177-4955-a922-9f10feb5bbdd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Bnyak bot gk ush kasih kasih bot gunanya apa sih, gk seru lawan bot",1,0,1.2.6.1961,2025-08-18 14:07:00,,,1.2.6.1961
f7c3f093-d14f-437b-8e4b-fc1196cca15b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sering terjadi crash padahal device saya memadai,5,0,1.2.6.1961,2025-08-18 14:04:43,,,1.2.6.1961
